bibliography_year,unique_records,non_cumulative_ok_volumes,records_per_volume
2008,1366,1,1366.0
2009,9281,6,1546.8333333333333
2010,11924,12,993.6666666666666
2011,12266,12,1022.1666666666666
2012,12508,12,1042.3333333333333
2013,10839,12,903.25
2014,6280,12,523.3333333333334
2015,10990,12,915.8333333333334
2016,10102,11,918.3636363636364
2017,8764,19,461.2631578947368
2018,11592,16,724.5
2019,13230,19,696.3157894736842
2020,12809,18,711.6111111111111
2021,13715,18,761.9444444444445
2022,7746,11,704.1818181818181
2023,504,1,504.0
2024,294,1,294.0
