year,model,top1,hit@3,hit@5,recall@5,ndcg@5,mrr@20,f1@3
2021,training_frequency_prior,0.0796,,,0.2173,0.1606,0.1895,0.0983
2021,tfidf_sgd,0.2022,0.3648,0.4381,0.3292,0.2680,0.3140,0.1698
2021,bertic_baseline,0.0796,0.2167,0.3143,0.2238,0.1639,0.1901,0.0983
2021,sparse_historical_retrieval,0.1713,0.2974,0.3710,0.2810,0.2269,0.2649,0.1378
2021,candidate_stacker,0.2097,0.3697,0.4466,0.3343,0.2728,0.3214,0.1726
2022,training_frequency_prior,0.0843,,,0.2077,0.1541,0.1905,0.0880
2022,tfidf_sgd,0.1768,0.3475,0.4281,0.3084,0.2465,0.2930,0.1592
2022,bertic_baseline,0.0843,0.1979,0.3317,0.2181,0.1596,0.1910,0.0880
2022,sparse_historical_retrieval,0.1525,0.2756,0.3499,0.2528,0.2041,0.2463,0.1257
2022,candidate_stacker,0.1945,0.3554,0.4440,0.3146,0.2554,0.3092,0.1630
