year,grouping,metric,stacker_minus_sgd,ci95_low,ci95_high,bootstrap_p_approx,replicates,documents,clusters,document_coverage
2021,serial,top1_accuracy,0.007512764405543399,0.00007022623744489315,0.01440230615072131,0.0492,5000,13710,560,0.999635435654393
2021,serial,hit@5,0.008533916849015317,0.003661139571924942,0.013420329037374789,0.0008,5000,13710,560,0.999635435654393
2021,serial,recall@5,0.005008509603695593,0.00147149096804044,0.008565176936719102,0.0072,5000,13710,560,0.999635435654393
2021,serial,ndcg@5,0.004772482742061471,0.0007776322466595424,0.008700682977275215,0.0236,5000,13710,560,0.999635435654393
2021,issn_only,top1_accuracy,0.008052875484312086,0.0002331886659611812,0.015316286488015855,0.0444,5000,13163,532,0.9597520962449873
2021,issn_only,hit@5,0.008888551242118058,0.0037253162289799554,0.01396251141838399,0.0004,5000,13163,532,0.9597520962449873
2021,issn_only,recall@5,0.005128010331991184,0.0014888654245509031,0.008810777274235548,0.0048,5000,13163,532,0.9597520962449873
2021,issn_only,ndcg@5,0.005008717248850652,0.000967975402444021,0.009160755723493277,0.016,5000,13163,532,0.9597520962449873
2022,serial,top1_accuracy,0.017709410548086866,0.003936423858834336,0.03326479357438713,0.0112,5000,7736,370,0.9988379599741769
2022,serial,hit@5,0.015899689762150983,0.008265444554925165,0.02354059362381165,0.0,5000,7736,370,0.9988379599741769
2022,serial,recall@5,0.006226301275422274,0.0009877743839967182,0.011170067775267944,0.0212,5000,7736,370,0.9988379599741769
2022,serial,ndcg@5,0.00886093869549041,0.0019735458297614286,0.016000529344404695,0.0104,5000,7736,370,0.9988379599741769
2022,issn_only,top1_accuracy,0.019068984856982614,0.0041506563564545585,0.03561051164338545,0.0128,5000,7132,329,0.9208521626856037
2022,issn_only,hit@5,0.017386427369601793,0.009004196010065368,0.025242156316704147,0.0,5000,7132,329,0.9208521626856037
2022,issn_only,recall@5,0.006823705365488883,0.0013379144632275945,0.011993687169354738,0.016,5000,7132,329,0.9208521626856037
2022,issn_only,ndcg@5,0.00943589924473989,0.001632720500705553,0.017079031952111353,0.0172,5000,7132,329,0.9208521626856037
